participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.is_dropout,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
5,mj3eg92g,,0,1,64,consent,1,Consent,172.16.176.137,2018-01-18 12:53:27.823237+00:00,1,A3PDTUA1YLJTMC,3TXWC2NHN09X8U8BWFUHWGU9XL4S9E,0.00,5,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
6,o2wxjxzc,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:44.416442+00:00,1,A35QYDS8MRV1EX,3YW4XOSQKR4VY2XKH7AOWBUEK61U1N,0.91,6,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
7,1q2gv78n,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:56:29.807708+00:00,1,A2F2DDH12YU4AK,3D8YOU6S9F3Q5OYHNDM5R7LVSHHU6L,8.00,7,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
8,59fwttut,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.593543+00:00,1,,,0.00,8,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
9,k56y9gun,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.621644+00:00,1,,,0.00,9,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
10,k0d302gm,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.646110+00:00,1,,,0.00,10,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
11,ljtxr4mx,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.670844+00:00,1,,,0.00,11,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
12,q78yz85t,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.696149+00:00,1,,,0.00,12,0,0,0.00,1,7,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
1,dum8fuxd,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:25.810857+00:00,1,A2IQ0QCTQ3KWLT,3Z7EFSHGNAX7291D29AVXEC9IL9XC8,1.98,1,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
2,ddrcm8fk,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.172472+00:00,1,A1NSHNH3MNFRGW,3FQ5JJ512M7K9DZXSG4KNVYJLG8NKR,0.75,2,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
3,ydwleocp,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.314945+00:00,1,A1HZXKVQSWNKRA,3ZGVPD4G6U0DTL33PDT6J9SOE77ZTQ,8.00,3,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
4,jq3fzmkv,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.612368+00:00,1,APGX2WZ59OWDN,3CN4LGXD5Y7T7AE8EQQFXU7USEN4Y9,1.10,4,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
5,mj3eg92g,,0,1,64,consent,1,Consent,172.16.176.137,2018-01-18 12:53:27.823237+00:00,1,A3PDTUA1YLJTMC,3TXWC2NHN09X8U8BWFUHWGU9XL4S9E,0.00,5,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
6,o2wxjxzc,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:44.416442+00:00,1,A35QYDS8MRV1EX,3YW4XOSQKR4VY2XKH7AOWBUEK61U1N,0.91,6,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
7,1q2gv78n,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:56:29.807708+00:00,1,A2F2DDH12YU4AK,3D8YOU6S9F3Q5OYHNDM5R7LVSHHU6L,8.00,7,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
8,59fwttut,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.593543+00:00,1,,,0.00,8,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
9,k56y9gun,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.621644+00:00,1,,,0.00,9,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
10,k0d302gm,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.646110+00:00,1,,,0.00,10,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
11,ljtxr4mx,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.670844+00:00,1,,,0.00,11,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
12,q78yz85t,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.696149+00:00,1,,,0.00,12,0,0,0.00,1,8,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0
